WAREHOUSE DATA
PATTERN: ProductName|Category|MeasurableUnit|UnitDetails|PricePerUnit|Quantity|EntryDate|ExpirationDate|ExtraFields

Peaches|FRUITS|BOX|6 kg|30.00|60|2025-06-16|2025-09-12|
Oranges|FRUITS|BAG|2.5 kg|13.00|19|2025-05-19|2025-11-14|
Peaches|FRUITS|BOX|6 kg|30.00|52|2025-10-30|2026-04-17|
Onions|VEGETABLES|BAG|4 kg|2.50|22|2025-05-30|2025-10-18|
Crackers|OTHERS|PACK|1 pack|2.00|448|2025-10-17|2026-01-10|
Onions|VEGETABLES|BAG|4 kg|2.50|18|2025-10-13|2026-01-02|
Peaches|FRUITS|BOX|6 kg|30.00|35|2025-07-03|2025-11-02|
Apples|FRUITS|KG|1 kg|6.00|74|2025-09-27|2025-11-16|
Apples|FRUITS|KG|1 kg|6.00|157|2025-05-07|2025-10-30|
Apples|FRUITS|KG|1 kg|6.00|171|2025-10-18|2025-12-14|
Crackers|OTHERS|PACK|1 pack|2.00|294|2025-10-02|2025-12-22|
Potatoes|VEGETABLES|BAG|10 kg|15.00|17|2025-08-11|2025-10-30|
Oranges|FRUITS|BAG|2.5 kg|13.00|23|2025-08-26|2025-11-20|
Oranges|FRUITS|BAG|2.5 kg|13.00|21|2025-08-08|2025-12-29|
Oranges|FRUITS|BAG|2.5 kg|13.00|18|2025-07-19|2025-09-28|
Peaches|FRUITS|BOX|6 kg|30.00|40|2025-08-21|2025-11-15|
Apples|FRUITS|KG|1 kg|6.00|176|2025-07-10|2025-11-13|
Apples|FRUITS|KG|1 kg|6.00|100|2025-07-18|2025-11-18|
Onions|VEGETABLES|BAG|4 kg|2.50|22|2025-08-12|2026-01-22|
Apples|FRUITS|KG|1 kg|6.00|202|2025-09-02|2026-02-04|
Oranges|FRUITS|BAG|2.5 kg|13.00|24|2025-07-15|2025-12-21|
Onions|VEGETABLES|BAG|4 kg|2.50|16|2025-09-13|2025-12-23|
Apples|FRUITS|KG|1 kg|6.00|199|2025-10-18|2025-12-26|
Onions|VEGETABLES|BAG|4 kg|2.50|18|2025-07-27|2025-11-09|
Crackers|OTHERS|PACK|1 pack|2.00|328|2025-09-29|2025-12-31|
Peaches|FRUITS|BOX|6 kg|30.00|47|2025-09-01|2026-02-11|
Onions|VEGETABLES|BAG|4 kg|2.50|15|2025-06-07|2025-11-29|
Peaches|FRUITS|BOX|6 kg|30.00|30|2025-09-06|2025-12-24|
Potatoes|VEGETABLES|BAG|10 kg|15.00|20|2025-06-13|2025-11-13|
Peaches|FRUITS|BOX|6 kg|30.00|40|2025-07-19|2025-12-31|
Potatoes|VEGETABLES|BAG|10 kg|15.00|16|2025-06-06|2025-11-19|
Potatoes|VEGETABLES|BAG|10 kg|15.00|22|2025-09-03|2025-12-09|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-08-13|2025-12-01|
Potatoes|VEGETABLES|BAG|10 kg|15.00|15|2025-07-06|2025-08-31|
Potatoes|VEGETABLES|BAG|10 kg|15.00|16|2025-07-08|2025-08-27|
Oranges|FRUITS|BAG|2.5 kg|13.00|17|2025-07-30|2025-10-06|
Onions|VEGETABLES|BAG|4 kg|2.50|22|2025-10-10|2025-11-18|
Onions|VEGETABLES|BAG|4 kg|2.50|24|2025-09-11|2026-01-11|
Oranges|FRUITS|BAG|2.5 kg|13.00|23|2025-09-08|2026-01-14|
Onions|VEGETABLES|BAG|4 kg|2.50|15|2025-07-20|2025-09-23|
Crackers|OTHERS|PACK|1 pack|2.00|298|2025-09-23|2025-12-07|
Potatoes|VEGETABLES|BAG|10 kg|15.00|23|2025-08-06|2025-11-14|
Onions|VEGETABLES|BAG|4 kg|2.50|21|2025-06-11|2025-11-27|
Oranges|FRUITS|BAG|2.5 kg|13.00|23|2025-10-06|2026-01-23|
Peaches|FRUITS|BOX|6 kg|30.00|59|2025-06-24|2025-10-30|
Onions|VEGETABLES|BAG|4 kg|2.50|15|2025-09-16|2026-03-04|
Potatoes|VEGETABLES|BAG|10 kg|15.00|20|2025-08-28|2026-02-12|
Apples|FRUITS|KG|1 kg|6.00|120|2025-09-08|2025-10-25|
Peaches|FRUITS|BOX|6 kg|30.00|40|2025-10-22|2026-01-27|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-09-02|2025-11-01|
Apples|FRUITS|KG|1 kg|6.00|181|2025-07-03|2025-09-15|
Peaches|FRUITS|BOX|6 kg|30.00|60|2025-09-14|2026-02-26|
Peaches|FRUITS|BOX|6 kg|30.00|54|2025-09-03|2025-11-02|
Crackers|OTHERS|PACK|1 pack|2.00|415|2025-08-06|2025-10-19|
Oranges|FRUITS|BAG|2.5 kg|13.00|15|2025-09-13|2025-10-31|
Apples|FRUITS|KG|1 kg|6.00|174|2025-06-02|2025-08-05|
Oranges|FRUITS|BAG|2.5 kg|13.00|24|2025-10-20|2026-03-06|
Peaches|FRUITS|BOX|6 kg|30.00|40|2025-09-03|2026-02-28|
Crackers|OTHERS|PACK|1 pack|2.00|252|2025-06-17|2025-11-16|
Onions|VEGETABLES|BAG|4 kg|2.50|23|2025-10-03|2026-02-11|
Onions|VEGETABLES|BAG|4 kg|2.50|25|2025-08-12|2025-12-30|
Peaches|FRUITS|BOX|6 kg|30.00|58|2025-09-26|2026-01-09|
Apples|FRUITS|KG|1 kg|6.00|199|2025-10-19|2025-12-08|
Potatoes|VEGETABLES|BAG|10 kg|15.00|19|2025-05-23|2025-08-31|
Oranges|FRUITS|BAG|2.5 kg|13.00|25|2025-09-28|2026-01-03|
Oranges|FRUITS|BAG|2.5 kg|13.00|15|2025-06-16|2025-11-21|
Onions|VEGETABLES|BAG|4 kg|2.50|15|2025-09-29|2025-11-26|
Potatoes|VEGETABLES|BAG|10 kg|15.00|15|2025-06-02|2025-11-14|
Apples|FRUITS|KG|1 kg|6.00|79|2025-08-31|2025-12-08|
Apples|FRUITS|KG|1 kg|6.00|130|2025-06-15|2025-07-31|
Potatoes|VEGETABLES|BAG|10 kg|15.00|22|2025-07-05|2025-10-22|
Onions|VEGETABLES|BAG|4 kg|2.50|21|2025-08-16|2025-10-30|
Potatoes|VEGETABLES|BAG|10 kg|15.00|22|2025-06-14|2025-10-08|
Onions|VEGETABLES|BAG|4 kg|2.50|15|2025-06-26|2025-09-25|
Peaches|FRUITS|BOX|6 kg|30.00|48|2025-08-18|2026-01-28|
Potatoes|VEGETABLES|BAG|10 kg|15.00|21|2025-09-05|2025-10-24|
Potatoes|VEGETABLES|BAG|10 kg|15.00|15|2025-08-01|2026-01-12|
